Energy,Error
-1.2246413929316221E+002,2.9928375136824665E+000
-1.2844324650130920E+002,3.5564658549423673E+000
-1.2560717411238286E+002,3.3378228338427647E+000
-1.3617057185463796E+002,4.1414274082217544E+000
-1.5091494066808335E+002,5.0528860865266747E+000
-1.8062319827028034E+002,6.6598117113359825E+000
-2.2311742574023197E+002,7.7775154594178879E+000
-2.9028000797695751E+002,8.6639957140905963E+000
-4.1715391656240172E+002,1.5179000541122021E+000
-4.5187530591752954E+002,6.6472804828622845E-001
-4.7018538187543930E+002,5.2063849340869994E-001
-4.8467107609261438E+002,3.9537087901119322E-001
-4.9150767605806737E+002,3.4372933655323973E-001
-4.9701079686700655E+002,2.3560132334132416E-001
-4.9972326632384403E+002,1.9457626881301326E-001
-5.0094693413863394E+002,1.7061347195683516E-001
-5.0188559486255656E+002,1.2974204200686834E-001
-5.0228167937594623E+002,1.1273371969844821E-001
-5.0232372541441242E+002,9.2910806515361682E-002
-5.0210725524421832E+002,9.9348608635538557E-002
-5.0206229450536068E+002,1.0330332454156821E-001
-5.0195232845681312E+002,8.9275783061899872E-002
-5.0160198799573459E+002,9.0641492554212499E-002
-5.0130688037693199E+002,8.0676563717522992E-002
-5.0135250729601455E+002,1.0487909122165583E-001
-5.0104914865054639E+002,8.4479073677558997E-002
-5.0094123500717461E+002,9.2870363220656102E-002
-5.0089886696899651E+002,9.4652441352422872E-002
-5.0081064607725654E+002,1.0281633770018561E-001
-5.0071474910004508E+002,1.3354663872129796E-001
-5.0051437161351356E+002,9.6186533055311954E-002
-5.0028887678134771E+002,7.0236754713062108E-002
-5.0031408136720461E+002,6.9517138848979504E-002
