Energy,Error
-1.2114616746442543E+002,3.0351963240472806E+000
-1.2081926263029210E+002,3.1130796477362090E+000
-1.2441691710671314E+002,3.0961291736409895E+000
-1.3936085654602169E+002,4.3509511480233272E+000
-1.6551041968213579E+002,6.0763869250684053E+000
-2.1332870505541345E+002,8.0306127181239937E+000
-3.0543869272752869E+002,8.6901261937514445E+000
-4.3214595497982629E+002,7.6747664640738134E-001
-4.6169036169043352E+002,6.9786672247983950E-001
-4.7778040422393036E+002,4.8009293713853951E-001
-4.8854838973123930E+002,3.5629249256143941E-001
-4.9478878566195169E+002,3.0090842224246750E-001
-4.9951450220467575E+002,2.1925363085827759E-001
-5.0159751795191073E+002,1.6818987123264087E-001
-5.0278993757320836E+002,1.2159126157961717E-001
-5.0334528651697042E+002,9.1535080068109176E-002
-5.0371507540797842E+002,6.5035851008733866E-002
-5.0353167490035378E+002,6.0201575003576882E-002
-5.0331218988664472E+002,6.5256103138352603E-002
-5.0306345214394850E+002,7.4351409672900950E-002
-5.0303701866607378E+002,9.5699209480979500E-002
-5.0259059297521856E+002,9.9631620562215528E-002
-5.0230502049265453E+002,1.0124965968431697E-001
-5.0193922228235056E+002,9.8986741349164173E-002
-5.0153569155736841E+002,8.6708190515626657E-002
-5.0158925059420113E+002,1.0857828726351285E-001
-5.0144494510876456E+002,1.3290892337183602E-001
-5.0119232907203980E+002,1.1492827721297921E-001
-5.0106478047943193E+002,1.3216565281815523E-001
-5.0089704306029347E+002,1.7347514591320504E-001
-5.0055750941699955E+002,8.6662794399741783E-002
