Energy,Error 
-1.21629418652038879e+002,3.06229046241840130e+000
-1.25979494370647060e+002,3.42740742370771434e+000
-1.26526822452400111e+002,3.31772659172022744e+000
-1.36627749477554971e+002,3.87821660237395927e+000
-1.57173193730333878e+002,5.48943665098390010e+000
-1.89603929173930112e+002,7.08222623010555186e+000
-2.46918502186532891e+002,8.55001656655070263e+000
-3.51648356711774170e+002,7.55399931919036582e+000
-4.37728680888573933e+002,7.90634187114764742e-001
-4.62080322914044416e+002,5.73868591036293063e-001
-4.78393891984747427e+002,4.58728093914760660e-001
-4.88358557382985680e+002,3.94415429231429748e-001
-4.94382826310968255e+002,2.97896411632548597e-001
-4.98704551316269544e+002,2.27025841817322438e-001
-5.00650733477085794e+002,1.85388970027821870e-001
-5.02296799022459197e+002,1.43164306701176886e-001
-5.02910716668065845e+002,1.00639662630840260e-001
-5.03336736699171752e+002,7.20392789981126047e-002
-5.03236822922802332e+002,7.20277293047813238e-002
-5.03211581905351295e+002,6.11687172310807492e-002
-5.02873583719447367e+002,6.21204091094575833e-002
-5.02745646074801925e+002,7.83995322823167196e-002
-5.02392016725424639e+002,7.05272714347017493e-002
-5.02147511715469363e+002,7.99730545646617913e-002
-5.02108844533520710e+002,9.85824404815857785e-002
-5.01685376222822583e+002,9.47855978167476271e-002
-5.01324343142440341e+002,8.42587059243451036e-002
-5.01380186342183833e+002,9.75501109010892542e-002
-5.01167252573595761e+002,1.10667723897022022e-001
-5.01147122341225781e+002,1.33932495727695056e-001
-5.01029659388724042e+002,1.10035789558042496e-001
-5.00719736927186943e+002,9.32004744924470330e-002
-5.00622527041326464e+002,8.80823966874319381e-002
-5.00559703450388383e+002,1.11951067199030960e-001
-5.00302203709035268e+002,7.78283423611893371e-002
-5.00277974477837517e+002,9.56057103345534787e-002
